group	go_term	n_genes_in_term	x_go	y_go	fdr	neglog10_fdr	overlap
Q4_clip_high_te_down	gene_type:processed_pseudogene	2504	0.7693656488863436	-0.8596990332885797	5.9188935762362925e-102	101.22775946872368	963
Q3_clip_low_te_down	gene_type:protein_coding	14705	-0.12252079088046365	-0.7612828972167888	1.3944962309502468e-72	71.85558265520913	4618
Q2_clip_low_te_up	gene_type:lncRNA	1899	-0.4062964106607642	-0.4901135209956758	2.1676824594194794e-61	60.6640043366273	250
Q1_clip_high_te_up	gene_type:processed_pseudogene	2504	0.7693656488863436	-0.8596990332885797	8.90342566537647e-18	17.05044286286951	285
Q1_clip_high_te_up	gene_type:TEC	877	0.1331668120876461	-0.5362931865443176	1.8669543538530476e-09	8.728866300214865	112
Q2_clip_low_te_up	gene_type:TEC	877	0.1331668120876461	-0.5362931865443176	0.00013203203920354248	3.8793206690902857	65
Q4_clip_high_te_down	gene_type:transcribed_processed_pseudogene	129	0.7045491000635273	-0.7181017175420489	0.005795003987652496	2.236946260853987	43
Q4_clip_high_te_down	gene_type:snoRNA	72	1.9560566482258972	-0.25649461775913485	0.007152565831866508	2.1455381362791086	27
Q4_clip_high_te_down	gene_type:TEC	877	0.1331668120876461	-0.5362931865443176	0.02599856798973989	1.5850505724630783	216
Q1_clip_high_te_up	gene_type:lncRNA	1899	-0.4062964106607642	-0.4901135209956758	0.178639191243308	0.7480232561220396	150
